width,height,sumofsquares,label
117,148,35593,1
116,147,35065,1
116,147,35065,1
116,147,35065,1
116,147,35065,1
116,147,35065,1
116,147,35065,1
116,147,35065,1
117,146,35005,1
117,147,35298,1
117,147,35298,1
117,147,35298,1
117,147,35298,1
117,147,35298,1
117,148,35593,1
117,148,35593,1
117,148,35593,1
115,146,34541,1
115,146,34541,1
115,147,34834,1
116,145,34481,1
116,145,34481,1
116,146,34772,1
116,146,34772,1
116,146,34772,1
116,146,34772,1
116,146,34772,1
116,146,34772,1
116,146,34772,1
116,146,34772,1
116,146,34772,1
116,146,34772,1
116,146,34772,1
116,146,34772,1
116,146,34772,1
116,146,34772,1
116,146,34772,1
116,146,34772,1
116,146,34772,1
116,146,34772,1
116,146,34772,1
116,146,34772,1
116,146,34772,1
116,146,34772,1
116,146,34772,1
116,146,34772,1
116,146,34772,1
116,146,34772,1
116,147,35065,1
116,147,35065,1
116,147,35065,1
116,147,35065,1
116,147,35065,1
116,147,35065,1
116,147,35065,1
116,147,35065,1
116,147,35065,1
116,147,35065,1
116,148,35360,1
117,145,34714,1
117,145,34714,1
117,146,35005,1
117,146,35005,1
117,146,35005,1
117,146,35005,1
117,146,35005,1
117,146,35005,1
117,147,35298,1
117,147,35298,1
117,147,35298,1
117,147,35298,1
116,145,34481,1
116,145,34481,1
116,145,34481,1
116,145,34481,1
116,145,34481,1
116,146,34772,1
116,146,34772,1
116,146,34772,1
116,146,34772,1
116,146,34772,1
117,145,34714,1
114,147,34605,1
114,147,34605,1
115,146,34541,1
115,146,34541,1
115,147,34834,1
115,147,34834,1
115,147,34834,1
115,147,34834,1
115,147,34834,1
115,147,34834,1
115,148,35129,1
115,148,35129,1
116,147,35065,1
116,147,35065,1
116,147,35065,1
116,147,35065,1
116,147,35065,1
116,147,35065,1
116,147,35065,1
116,147,35065,1
116,147,35065,1
116,147,35065,1
116,147,35065,1
116,147,35065,1
116,147,35065,1
116,148,35360,1
114,146,34312,1
114,146,34312,1
115,145,34250,1
115,145,34250,1
115,145,34250,1
115,145,34250,1
115,146,34541,1
115,146,34541,1
115,146,34541,1
115,146,34541,1
115,146,34541,1
115,146,34541,1
115,146,34541,1
115,146,34541,1
115,146,34541,1
115,146,34541,1
115,146,34541,1
115,146,34541,1
115,146,34541,1
115,146,34541,1
115,146,34541,1
115,146,34541,1
115,146,34541,1
115,146,34541,1
115,146,34541,1
115,146,34541,1
115,146,34541,1
115,146,34541,1
115,146,34541,1
115,146,34541,1
115,146,34541,1
115,146,34541,1
115,146,34541,1
115,146,34541,1
115,146,34541,1
115,146,34541,1
115,146,34541,1
115,146,34541,1
115,146,34541,1
115,146,34541,1
115,146,34541,1
115,146,34541,1
115,146,34541,1
115,146,34541,1
115,146,34541,1
115,146,34541,1
115,146,34541,1
115,146,34541,1
115,146,34541,1
115,147,34834,1
115,147,34834,1
115,147,34834,1
115,147,34834,1
115,147,34834,1
115,147,34834,1
115,147,34834,1
115,147,34834,1
115,147,34834,1
115,147,34834,1
115,147,34834,1
115,147,34834,1
115,147,34834,1
115,147,34834,1
115,147,34834,1
115,147,34834,1
115,147,34834,1
115,147,34834,1
115,147,34834,1
115,147,34834,1
115,147,34834,1
115,148,35129,1
116,145,34481,1
116,146,34772,1
116,146,34772,1
116,146,34772,1
116,146,34772,1
116,146,34772,1
116,146,34772,1
116,146,34772,1
116,146,34772,1
116,146,34772,1
116,146,34772,1
